meloeiro	(fruta)
sistemas_sociais	(sistema organização)
amarena	(pomares Árvore_frutífera)
Ordem_do_Carmo	(frade)
acolher	(amparar cumprimentar abrigar saudar)
cólica	(cefaleia dor dor_de_cabeça)
identidade_de_género	(personalidade identidade)
papel_higiênico	(papel folha)
batata-da-terra	(Morning_glory Morning_Glory)
montanha_russa	(ele)
Agência_reguladora	(corpos_administrativos)
Central_telefónica	(trabalho laboratório locais_de_trabalho oficina emprego)
agir	(atuar fazer)
verbo_auxiliar	(verbo)
esgravatar	(buscar procurar)
diazepam	(Benzodiazepinas benzodiazepina)
culturas_hidropónicas	(ambiente região território)
anticoagulação	(cuidados_médicos)
leite_evaporado	(leite)
degelar	(liquidificar liquefazer)
sarcoma	(câncer Câncro cancro)
diesel-elétrico	(Locomotiva_a_diesel Locomotivas_a_diesel)
Igreja_Ortodoxa	(catolicismo)
Erlenmeyer	(Frasco cantil Frasco_de_laboratório frasco)
morte_cerebral	(morte)
Teoria_dos_Grupos	(matemática_pura)
Eutrofizacao	(processos_biológicos)
Colunistas	(jornalista periodista)
origami	(arte)
cabograma	(telegrama)
resistir	(desacatar defender opor_se escapar durar fazer arrostar agir afrontar
          fazer_frente_a relutar atuar aguentar portar opor-se debater-se lutar
          brigar desobedecer)
sacramento	(cerimônia_religiosa)
Contraltos	(voz)
pardal	(Passeriformes)
Década_de_1960	(década decênio)
arquiteto	(creador criador)
maçom	(irmão frade)
injeção	(cuidados_médicos inserção introdução)
Artéria_lacrimal	(Artéria Arteria Artérias artéria)
génio	(inteligência)
domingo_de_Páscoa	(feriado_religioso_cristão)
desdobrar-se	(progredir desenvolver)
sono	(período etapa tempo)
osteoma	(tumor_benigno)
Vice-presidente_dos_Estados_Unidos_da_América	(vice-presidente vice_presidente)
cinismo	(filósofo pessimismo)
Lula_gigante	(lula calamar)
hagiografista	(biografista biógrafo)
Retardo_mental	(estupidez)
Horda_de_Ouro	(horda)
Conservantes_alimentares	(composto_químico Compostos_químicos
                          substância_química Composto_químico)
chá_de_camomila	(chá)
Espaço_de_hilbert	(espaço_métrico)
restinga	(cume aresta)
perambular	(andar ir caminhar viajar)
pitão	(jibóia)
monte_de_neve	(amontoado monte)
fosfato	(sal sais)
aba	(cobertura capa limite fronteira)
Eucalyptus_globulus	(eucalipto)
vias_rápidas	(caminho via estradas estrada_de_via_dupla estrada
              estradaderodagem rodovia autoestradas auto-estrada
              super-autopista via_expressa autoestrada)
Video-cassete	(Gravador gravador)
Donatismo	(estudante adepto discípulo seguidor aluno apóstolo)
regulamentos	(regra normas_jurídicas prescrição norma controlo controle ideia
              idéia concepção conceito)
pombo-comum	(pomba pombo)
ursídeos	(Brinquedos brinquedo)
Radioterapia	(terapia Terapias)
aplicação_servidora	(utensílio ferramenta)
sustentação	(amparo suporte)
açor	(Gavião acípitre gavião)
coassinar	(endossar)
distintivo	(qualidade característica carácter_distintivo símbolo emblema)
acrocianose	(cianose)
actualidade	(espaço_temporal tempo)
Cheloniidae	(tartaruga testudinata)
Bromofórmio	(haloformes)
teosofia	(sistema)
quarentena	(incomunicação isolamento)
optometria	(prática)
turista	(viajante alma indivíduo ser_humano alguém pessoa)
intento	(objetivo propósito finalidade objectivo intenção meta alvo)
antinêutron	(nucleão Núcleon Nucleons nucleon)
associado	(igual pário par)
podómetro	(Instrumento_de_medida metro instrumentos_de_medição
           Instrumentos_de_medida)
assonância	(rima)
Mercado_futuro	(Derivativos derivativo)
moedor	(mariposa traça)
embalsamar	(acautelar)
crioulo	(negro pá negra)
palavrão	(verbo profanação palavra termo vocábulo Palavrão
          Palavra_de_baixo_calão Palavras_de_baixo_calão Palavra_de_baixo-calão)
chapéu-panamá	(chapéu sombreiro)
bruxas	(bruxo bruxa)
Línguas_khoisans	(língua_natural linguagem Lingua_natural idioma
                  linguagem_natural língua Língua_Natural)
Numerologia	(terreno campo disciplina domínio)
concepção	(princípio criatividade sexo Criatividade opinião ideia conceito
           pensamento idéia início começo transa)
ratear	(dispor alienar)
Unitarismo	(Protestantismo protestantismo)
Terapia_Ocupacional	(terapia Terapias)
faísca	(fragmento rosto vivacidade vitalidade estro aparência expressão verve
        elã)
agonia	(sofrimento tormento angústia Dor cefaleia dor_de_cabeça martírio dor
        tortura)
síncope	(pronúncia tempo ritmo)
enroscar	(mexer mover deslocar)
Modulação_em_Amplitude	(Modulação)
pratear	(colorizar colorir)
artemísia	NIL
Onychophora	(Artropode artrópodes artrópode)
descrer	(rejeitar)
Família_dos_violinos	(grupo classe família categoria)
evacuar	(sair retirar-se esvaziar ir partir evaziar)
fantasma	(ilusão psiquê aparição espírito alma)
vizinha	(alma indivíduo ser_humano alguém pessoa)
dedo_mindinho	(dedo_da_mão Dedo_da_mão dedo)
esqueleto_axial	(esqueleto)
implementar	(utilizar obrigar usar empregar constranger compelir forçar)
empolgar	(encorajar alentar)
glândula_exócrina	(Glândulas Glândula glândula)
feriado_religioso_cristão	(dia_santo)
biodiversidade	(diversidade)
Brinquedos	(produto utensílio artefato)
etiqueta	(tag marcadores pega-pega tag_xml marca_sgml apanhada regra
          normas_jurídicas prescrição norma selo marca rótulo)
desferir	(deslocar mover)
aumentar_o_valor	(ranquiar classificar)
rábanodecavalo	(raizes raíz raiz)
estilhaço	(munição)
Organização_mundial_do_comercio	(Organização_internacional
                                 Organizações_internacionais)
reestruturar	(organizar estruturar)
Célula-tronco	(célula_somática Célula_somática)
polémica	(discordância controvérsia querela disputa polêmica contestação
          discussão)
Mitocondria	(organelo Organelos)
isquemia	(anemia Anemias)
cinematografia	(fotografia)
citar	(escrever referir mencionar compor aludir redizer reapresentar repetir
       reiterar)
leiomioma	(mioma)
refrigerador	(geladeira frigoríficos frigorífico Frigorifico Frigorífico)
caxemirense	(hindu indiano)
timidina	(Nucleosídeos)
Araucaria_columnaris	(araucária pinheiro_brasileiro)
vestíbulo	(quarto câmara aposento sala)
Mirmecofilia	(criatura organismo ser)
numerar	(nomear identificar designar denominar)
artéria_subclávia	(artéria Artérias Arteria Artéria)
maçã_de_Adão	(cartilagem tecido_cartilaginoso)
equiparar	(considerar julgar pensar alterar mudar modificar)
retalho	(venda)
interesseira	(mulher)
poste_estaca	(posição local lugar)
espigão	(pele Pele)
entusiasmar_se	(considerar verbalizar falar dizer conversar proferir)
mesura	(gesto Gestos Gesto)
linguagem_sueca	(línguas_germânicas_setentrionais Línguas_nórdicas)
imame	(muçulmano Muçulmano Muçulmanos líder chefe)
Óleoduto	(ducto tubulação condutas canal duto)
resto	(objeto_físico pano objeto porção categoria parte componente)
pagar_mal	(pagar)
compreender_mal	(entender compreender)
teclado_numérico	(Dispositivo_de_entrada teclado)
particularizar	(expor elaborar elocubrar expandir)
florir	(progredir desenvolver)
carne	(corpo_humano corpo cadáver vianda)
contabilidade_(execução)	(função emprego profissão lugar ofício ocupação
                          trabalho serviço)
Modulação	(transmissão)
açaimo	(restrição limitação)
resultar	(ocorrer sobrevir fazer_prova_de ser estar demostrar provar passar
          acontecer suceder seguir seguir-se redundar)
Dezembro	(mês_no_calendário_gregoriano)
sangue_coagulado	(sangue assassinato homicídio_doloso assassínio homicídio
                  Sangue)
ratatouille	(Guisados guisado cozido)
recomendações	(loa louvor glória elogio)
pastiche	(obra_de_arte trabalho_artístico objeto_de_arte Obra_de_Arte
          Obras_de_arte)
Véspera_de_Natal	(efeméride feriado Efeméride)
grêmio	(associação união ordem sociedade organização)
perturbação	(turbulência)
osteosclerose	(esclerose)
Número_real	(Numero_complexo número_imaginário Números_complexos
             número_puramente_imaginário número_complexo)
veemência	(intensidade)
Cavalaria	(forças_armadas exército tropas milícia)
localizar	(encenar apresentar situar determinar encontrar reganhar achar)
estar_faminto	(sofrer doer)
Telecinesia	(pesquisa_psi parapsicologia)
libar	(tomar beber)
contramarchar_	(reordenar)
água_de_cristalização	(água)
Rénio	(metal Metais metais)
anticlímax	(perda conclusão)
algoz	(verdugo assassino matador carnífice carrasco)
mielina	(gordura tecido_adiposo lípidos)
Dedo_do_pé	(dedo_da_mão dígito dedo)
agasalho	(vestuário roupa)
crustáceo	(Artropode artrópodes artrópode)
obra	(produção produto bens)
sedimentos	(substância matéria)
girafa	(ruminante ruminantes)
física_atômica	(Fisica ciências_físicas Física física)
Sagradas_Escrituras	(Livro_sagrado Textos_religiosos Livro_Sagrado)
máquina	(maquinaria veículos_motorizados ferramenta aparelho aparato mecanismo
         instrumento dispositivo equipamento motores motor alma indivíduo
         ser_humano alguém pessoa aparelho_mecânico)
tortura	(cefaleia dor_de_cabeça angústia Dor dor perseguição)
convivência	(relação ligação)
idealismo	(nobreza Teorias_filosóficas)
fatigar	(piorar degenerar degradar deteriorar)
Carma	(fado sorte destino)
desaparição	(partida)
Íncubo	(demo demónio diabo cão capeta demônio)
guitarra_acústica	(violão Guitarra guitarra)
sépia	(castanho marron marrom)
topeira	(insectívoros)
sossego	(propriedades_acústicas)
dodecaedro	(Poliedros poliedro)
intensificar	(acirrar ampliar progredir acrescentar crescer aumentar)
novilha	(vaca)
abstrair	(ver achar considerar)
aperto_de_mão	(reconhecimento)
Fotógrafos_da_Suíça	(artista)
neutralizar	(compensar enfraquecer alterar matar mudar modificar)
monumentos	(túmulo edifício tecido estrutura sepulcro sepultura locação lugar
            sítio)
Terror_Noturno	(drama)
huri	(mulher)
comissão	(estipêndio certidão certificado escritura instrumento atestado
          organização corpos_administrativos custo taxa remunerações)
detonar	(mudar)
cavalo-marinho	(Peixe-cachimbo)
pano_de_chaminé	(capucha capuz)
esconder	(disfarçar agarrar mascarar alterar mudar modificar segurar pegar
          capturar omitir encobrir tapar acobertar ocultar tampar)
abordagens	(estrada via caminho)
transferase	(Enzimas enzimas enzima)
pomada	(produtos_farmacêuticos medicamento remédio terapia)
Cianeto_de_potássio	(cianeto cianureto Cianetos)
espiritismo	(convicção religião opinião crença fé Crenças Crença)
magnólia	(casca súber)
microscópio_eletrônico	(Microscopia microscópio microscopia)
avaliar	(medir chutar balizar julgar estimar determinar raciocínar refletir
         pensar)
demolhar	(molhar)
logotipo	(marca Marca_Registrada marca_registrada)
Porquinho_mealheiro	(caixa porquinho-mealheiro)
forame	(vão fenda)
garantir	(prometer aprovar)
auscultação	(dar_ouvidos escuta)
androide	(robô robot andróide autômato)
potenciabilidade	(possibilidade chance)
vademécum	(Obras_de_referência Obra_de_referência)
Universo	(objeto_natural natureza)
dar_ordem	(ordenar mandar impetrar intimar)
enraivecer	(elicitar provocar incitar estimular concitar experimentar sentir)
europeu	(morador habitante)
pancreatite	(inflamação)
esbofetear	(estapear dar_um_tapa)
jaguaretê	(grande_felino gato)
esquina	(encruzilhada cruzamento)
difamar	(conspurcar denegrir caluniar incriminar acusar)
para-pente	(Voo_a_vela)
Rizoma	(caule tronco)
cristal	(componente rocha vidro parte sólida sólido matéria_sólida pedra)
reza	(solicitação requerimento petição requisição pedido apelo)
orgulhar-se	(experimentar sentir)
condecorar	(prestigiar reconhecer honrar)
alpe	(montanhas Montanhas monte montanha)
título_de_duque	(classe hierarquia posição posto)
encanto	(mágica magia ilusionismo taumaturgia Magia)
sala_de_aula	(quarto câmara aposento sala)
inclinação	(Ângulos parcialidade localização tendência declives ângulo talude
            mudança colocação posição situação partidarismo)
newsgroup	(instalação infra-estrutura serviço)
Património	(possessão propriedade)
mansarda	(andar piso pavimento)
turdo	(sabiá tordo)
Língua_tonal	(língua_natural linguagem Lingua_natural idioma linguagem_natural
              língua Língua_Natural)
escrúpulo	(vacilar)
dublê	(dobro)
obturador	(aparelho_mecânico)
saponificação	(reação_química Reações_químicas reacções_químicas Reação_Química)
pendurador_de_chaves	(manchete)
secundar	(apoiar ajudar)
anti-semita	(odiador)
Balancê	(Brinquedos brinquedo)
literatura_(avaliação)	(literatura)
nadar_de_costas	(nadar)
programa	(sistema agenda comunicação informação horário cronograma opinião
          conceito pensamento idéia emissão lista_numerada lista listagem
          software aviso anúncio código espectáculo show ideia plano intenção
          projecto planos programação traçado projeto concepção)
preponderância	(número)
capote	(chapéu sombreiro)
constipar	(indispor)
programação	(escrita opinião ideia conceito pensamento idéia)
secessionista	(advogado representante defensor proponente)
convexidade	(contorno sólida sólido)
despesa_de_viagem	(custo)
vodca	(bebida_alcoólica álcool)
trovoadas	(relâmpago intempérie corisco raio fenômeno_atmosférico tempestades
           tempestade tormenta vendaval borrasca)
constituição	(lei início começo atributo leis actos_legislativos)
monsenhor	(sacerdote pastor presbítero clérigo padre)
Dicloxacilina	(Bactericida)
confidente	(camarada amigo conhecido amiga amizade)
citas	(nómadas Povo_nómade Povo_nômade nômade nomadismo nómada)
minuta	(nota)
diarréia	(sintoma)
rodar	(andar girar virar deslocar mover ir caminhar viajar)
televisionar	(transmitir)
farmácia	(lojas loja)
catabolismo	(processos_biológicos)
Distribuição	(mercantilismo comercialismo comércio)
Canal_da_Mancha	(transmissão)
doadora_de_órgãos	(doador)
Taxidermia	(destreza Arte)
sentir_falta	(querer desejar ansiar)
estirar	(lesionar lesar machucar ferir)
creosoto	(composto_orgânico substâncias_orgânicas Compostos_orgânicos
          Composto_orgânico matéria_orgânica)
taxa_de_criminalidade	(velocidade ritmo)
Occupational_Safety_and_Health_Administration	(instituição_pública Governo
                                               agência_governamental agência
                                               escritório)
Capilar_sanguíneo	(vaso_sanguíneo Vaso_sanguíneo Vaso_sangüíneo)
adornar	(arranjar ornar estar dispor alterar mudar modificar ser decorar
         ornamentar empetecar embelezar enfeitar)
imobilizar	(conter reter)
corpo_docente	(comunidade grupo)
OMC	(Organização_internacional Organizações_internacionais)
